,comment,sentiment,comment_len
1119,فقط کافیه که یه سرعت ۲۵۶ داشته باشین تا بتونین به جمعیت جهانی وصل بشین و با این کار تازه دنیای xbox واستون باز میشه,1,25
1120,از نظر cpu نیز فرق خاصی نکرده که دارای cpu دو هسته ای ۱٫۲ GHz است و این که رم ان تا۶۴ ساپورت می کنه که S۲ تا ۳۲ ساپورت میکنه و پیشرفت دیگر این که S۲ plus دارای NFCنیز است,1,42
1121,عالیه فقط همین,2,3
1122,همچنین تایمر و توانایی عکاسی پیاپی با سرعت ۳ فریم بر ثانیه را هم دارد,0,15
1123,همین چند ماه پیش بود که سونی یک گوشی به نام Xperia Tipo را معرفی کرد آن زمان Tipo را یک گوشی اندرویدی سطح مبتدی برای کاربرانی معرفی کردیم که قصد دارند یک گوشی نسبتا جمع و جور با قیمت ارزان داشته باشند,0,42
1124,قابلیت Playlist نیز برای مرتب کردن و ترتیب کلیپ ها به کار می رود که مثلا در مود پخش مجدد به چه صورتی نمایش داده شوند یا آن که نحوه رایت شدن آن ها بر روی یک DVD به چه صورتی باشد,0,41
1125,با سلام خدمت دوستان بعد از شش ماه تحقیق راجع به دوربین به طور ناخواسته اینو خریدم و امروز به دستم رسید,0,22
1126,کمبود رم توی اس ۳ واقعا آزار دهنده نیست,0,9
1127,من این دوربین رو یک ماهی هست که خریدم,0,9
1128,جزئیات بسیار دقیق هستند رنگ های تولید شده بسیار طبیعی بوده و نویز عکس ها کم است,2,17
1129,راستش با چیزایی که شنیده بودم داشتم منصرف میشدم از خریدنش اما حالا که خریدم واقعا بیش از اندازه راضی هستم دوستانی که میگن کیفیت خوبی نداره باید بگم که بهتره این انتقاد رو از هدفونش کنید,1,36
1130,فراموش نکنین که پرینترها بخاطر ماهیت مکانیکیشون کما بیش به تعمیرات و یا سرویس نیاز پیدا می کنن,0,18
1131,در ضمن قاب دور تبلت مقداری ضخیم است طوری که باعث گردیده این دستگاه از دستگاه های مشابه مقداری بزرگ تر باشد,0,22
1132,این در حالیست که بیشتر دوربین های موجود در بازار از کارت های حافظه ی بزرگتر SD بهره می برند,0,20
1133,من این گوشی رو به عنوان پیشنهاد شگفت انگیز دیجی کالا قبول کردم و به نظرم واقعا شگفت انگیز هست,2,20
1134,با سلام,0,2
1135,این دوربین نیز همانند P۵۱۰ دارای GPS داخلی است,0,10
1136,همچنین تعدادی ویجت کاربردی مانند باتری ایمیل و یا ساعت نیز بر روی این گوشی قرار دارد که ویجت آب و هوا بر روی این گوشی با طراحی بسیار خوب خود نمایی می کند,1,34
1137,۲۶۳ H,0,2
1138,با عرض سلام به تمامی دوستان اینجانب به مدت بیست سال است که تقریبا اکثر دوربینهای تصویر برداری خانگی و حرفه ای را داشته و تست کرده ام,0,27
1139,توانایی عملیات اسکن و کپی هم باعث می شوند که بتوانید دست کم در سه مورد از این پرینتر استفاده کنید,1,21
1140,در بالای دستگاه و در قسمت وسط آن یک صفحه نمایش وجود دارد,0,13
1141,در ضمن نسخه ۴ از فناوری بلوتوث و همچنین فناوری DLNA نیز برای ایجاد ارتباط با دیگر دستگاه ها موجود است,0,21
1142,اگه مرددین که چی بخرین که بعدا پشمیون نشین این خیلی بعیده که پشمیون بشین از خریدنش حتما از استفاده ازش لذت میبرین همیشه بهترینو بگیرین تفاوت قیمتش با مارکای معروف دیگه خیلی کمه قول میدم پشیمون نمیشید از خریدنش,1,40
1143,در اینجا می خواهم نکات مثبت و منفی این گوشی را بررسی کنم نکات مثبت پشتیبانی از ۴ باند GSM GPRS EDGE قابلیت۳Gبا سرعت ۷٫۲ مگابیت بر ثانیه HSDPAو ۵٫۷۶ مگابیت بر ثانیه HSUPA صفحه نمایش ۳٫۳ اینچی با قابلیت نمایش ۱۶ میلیون رنگ و رزولوشن WVGA ۸۵۴ ۴۸۰ پیکسل با موتور نمایش BRAVIA سیستم عامل آندروید ۲٫۳ Gingerbread که قابلیت اپدیت به android ۴ ice cream sandwich پردازنده ی۱GHz Scorpion CPU و شتاب دهنده ی گرافیکی Adreno ۲۰۵ ۵۱۲ مگابایت حافظه به صورت RAM دوربین ۸ مگاپیکسلی با فوکوس اتوماتیک و فلاش LED و قابلیت برچسب گذاری جغرافیایی قابلیت فیلم برداری با کیفیت HD دوربین دوم ۲ مگاپیکسلی با قابلیت تماس های تصویری دارایGPS دارای درگاه کارت حافظه ی خارجی از نوع MicroSDکه همراه گوشی ۴ گیگابایت عرضه می شود و قابلیت ارتقا تا ۳۲ گیگابایت را دارا می باشد,0,141
1144,سلام من میگم که سامسونگ اگه می خواد تو دل مردم جا باز کنه باید مثل سونی اریکسون گوشی های زیبا تری بزند,0,23
1145,به نظر من تبلت خوبیه ولی زمانی که من اینو داشتم کیف و کاوری براش نبود,-1,16
1146,یک دوربین ورزشی اصولا باید از چه ویژگی هایی بهره ببرد که آن را از دیگر دوربین های فیلم برداری متمایز کند,0,22
1147,حتما یکی بخرید,0,3
1148,من خودم این تبلت رو دارم و واقعا از روشنایی صفحش راضیم,0,12
1149,سومین و یکی از مهم ترین قابلیت های جدید گوشی Galaxy S III سیستم فرمانبری صوتی پیشرفته گوشی یا S Voice است که در حقیقت نسخه اندرویدی Siri می باشد,2,30
1150,قدرت بلندگوی این گوشی بسیار زیاد است به همین حتی در فضاهای شلوغ به راحتی می توانید صدای زنگ خوردن گوشی خود را بشنوید,1,24
1151,ویندوزفون ۸ یک سیستم عامل ساده و روان بدون هرگونه پیچیدگیه مزایایی که داره باز بودن استور ویندوز فون برای دانلود برنامه فقط ۱ نکته هست وقتی میخواین اکانت hotmail یا live بسازین باید تو اون قسمتی که میگه در چه کشور یا region هستید نباید ایران بزنید قابلیت نصب برنامه از طریق استور از روی کامپیوتر بر روی گوشی بر طرف شدن مشکل انتقال فایل ها از طریق بلوتوث معایب تعریف نشدن vpn conection در ویندوزفون که قراره در آپدیت بعدی این مشکل حل بشه نصب برنامه ها بر روی حافظه داخلی گوشی حدود ۵ گیگ از ۸ گیگ حافظه داخلی آزاد که میتونه برای نصب برنامه کافی باشه نداشتن رادیو مشخصا سیستم عامل ویندوز فون با گذشت زمان و ارائه نسخه های جدیدتر بهتر میشه و طرفدارای خودشو پیدا میکند در آخر اگه قصد تجربه یک گوشی خوب با سیستم عامل ویندوز فون رو دارید انتخاب درستی کردید,0,150
1152,سخت افزار کمی بهبود یافته و جنس بدنه ان براق میباشد ودارای nfc هم هست,1,15
1153,صرف نظر از عملکرد این گوشی تبلت باید بگوییم که ایده ی ایسوس بسیار خلاقانه و قابل احترام است,1,19
1154,اگر شما یک دانشجو باشید حتما می دانید که به دفعات برایتان پیش آمده که نیاز به گرفتن کپی و یا عکس از یک کتاب و یا جزوه داشته اید مهندسین عمران معمولا نیاز دارند که نقشه های خود را همراه داشته باشند وکلا همیشه مدارک زیادی را حمل می کنند و چندین مورد دیگر که در تمامی این ها یک پویشگرهای دستی می تواند به راحتی و در زمانی بسیار کوتاه از این مدارک نقشه ها و متون اسکن تهیه کرده و بر روی یک حافظه ذخیره کند و درمواقع مورد نیاز در اختیار شما قرار دهد,2,96
1155,زوم بسیار عالی داره فلشش خیلی کاربرد داره کیفیت عکس و فیلم برداری در سطح مطلوبیه صدا برداری خوبی داره,2,20
1156,باتری باتری لیتیوم یونی ۱۳۲۰ میلی آمپری که در این گوشی استفاده شده است تا حدود ۹ ساعت مکالمه ممتد و بیش از ۷۰۰ ساعت در حالت آماده باش را پشتیبانی می کند,0,32
1157,همینطور اپل برتری های دیگه ای هم نسبت به گوشیهای اندرویدی داره اما یه سری برتری ها هم اندرویدی ها نسبت به اپل دارن مثلا باید واقع بین باشیم که تو کشور ما نمیشه از حتی ۸۰٪امکانات نرم افزاری اپل استفاده کرد اما تقریبا بسادگی میشه از ۱۰۰٪امکانات گوشیهای اندرویدی لذت برد,0,54
1158,امکانات سخت افزاری و نرم افزاری عالی,2,7
1159,در نمای جلویی تبلت دوربین ۱٫۳ مگاپیکسلی جهت مکالمات تصویری به همراه سنسورها و البته کلید فیزیکی Home و دو کلید خازنی در طرفین آن به چشم می خورند و در آخر هم دوربین ۵ مگاپیکسلی این تبلت که به همراه لوگوی سامسونگ در قسمت پشتی آن خودنمایی می کند,0,50
1160,از همه نظر کارش درسته کیفیت نمایش داغ هم نمی کنه لگ هم نداره هنگ نداره عمر باطری ۶ ساعت طراحی کلاسیک در ضمن یکی از مهمترین ویژگیهای لپ تاپها گه کمتر راجع بهش صحبت میشه مچ بودن سخت افزار و یکپارچه عمل کردنشونه که در بسیاری از مدلها دیده نمیشه,2,51
1161,مخصوصا سفیدش,0,2
1162,نرم افزار سیستم عامل موجود بر روی تبلت جدید فوجیتسو همان طور که گفتیم سیستم عامل محبوب و قدرتمند اندروید می باشد,1,22
1163,سرعت عکس برداری و فیلم برداری هم فوق العاده است,2,10
1164,فیلم برداری این گوشی نیز همانند عکس برداری آن بسیار عالیست,2,11
1165,دلیل این امر این است که اپل اعتقاد دارد این حداکثر سایز استاندارد برای کار کردن با یک دست با گوشی می باشد,0,23
1166,اما یک واقعیت بدون بزرگنمایی بگم که یک ایرادش اینه که نمیشه ازش ایراد گرفت و یک گوشی به تمام معناست,1,21
1167,زوم ۵ برابر اپتیکال هم داره که حتی میتونیم در هنگاه فیلم برداری ازش استفاده کنیم,0,16
1168,این گوشی سرعت پردازنده ی مناسبی دارد,1,7
1169,من میخواهم با یک سری مقایسه انتخاب را به عهده ی خودتان بزارم ولی به پیشنهاد من هم گوش کنید,0,20
1170,هرچند که به عنوان یک نوت بوک مالتی مدیا انتظار دیدن بعضی پورت ها ی دیگر را نیز علاوه بر HDMI که بر روی آن وجود دارد داشتیم,0,28
1171,در کل همانطور که گفتیم S۳۲۰۰ دوربین Bridge ارزان قیمتی از فوجی فیلم است که قیمت مناسب را در ازای امکانات مناسب ارائه می کند,1,26
1172,سرعت به صورت چشمگیری پایین میاد,-1,6
1173,به جز این امکانات نمی توان گفت که ویندوز فون ۸ تغییر چشمگیری نسبت به ویندوز فون منگو نسخه ی ۷٫۵ داشته است,0,22
1174,البته هر کسی که آشنایی با دوربین های ضد آب دارد می داند که تحمل فشار آب تا این عمق بسیار تحسین برانگیز است,2,24
1175,به نظر من این فبلت بعد از ال جی نکسوس بهترین گوشی سال ال جی خواهد بود,1,16
1176,در گوشه سمت چپ بالای صفحه نمایش یک آیکون گوگل مشاهده می نمایید که در واقع یک میانبر برای دسترسی سریع به سایت گوگل می باشد,0,26
1177,اسکنر Canon LiDE ۱۰۰ توانایی اسکن کردن نگاتیو ۳۵mm را ندارد,-1,12
1178,عملکرد ایزوش فوق العادست اگه fujifilm به این کارش ادامه بده و یه فول فریم ۱۴ مگاپیکسلی بزنه شاهکار در عملکرد ایزو میشه,2,23
1179,با تشکر از سایت خوب دی جی کالا,0,8
1180,این پردازنده ها نه تنها فوق العاده قدرتمندتر از مدل های پیشین هستند بلکه مصرف انرژی کمتری نیز دارند,2,19
1181,یکی از نقاط قوت این دوربین توانایی ضبط صدای Dolby digital بسیار با کیفیت با کمک چهار میکروفون است,2,19
1182,احتمالا این مود عکاسی است که بیشتر علاقه دارید دوربین را بر روی آن بگذارید و عکاسی کنید,1,18
1183,حسگر به کار رفته درون این دوربین از نوع CMOS و با ابعاد ۱ ۲٫۳ اینچی می باشد یعنی دقیقا همان ابعاد حسگر دوربین های کامپکت را دارد,0,28
1184,به دستم که برسه یه نقدم من میذارم,0,8
1185,یک نوار پلاستیکی در قسمت بالایی این قاب قرار دارد که بر روی آن دوربین اصلی ۸ مگاپیکسلی Infinity به همراه فلاش LED آن تعبیه شده است,0,26
1186,ضمن اینکه برای این تبلت امکان تهیه داک کیبورد به صورت جداگانه نیز وجود دارد که این نیز یک مزیت دیگر این دستگاه به شمار می آید,1,27
1187,البته هر کسی که آشنایی با دوربین های ضد آب دارد می داند که تحمل فشار آب تا این عمق بسیار تحسین برانگیز است,1,24
1188,دیجی کالا همه چیز رو از همه جای ایران ارزون تر میده,1,12
1189,۸ اندرویدش حیفه که ۴٫۰٫۳ هست اما میگن تو ۳ ماهه اول ۲۰۱۳ قراره براش JB بیاد و بوت لودرش هم باز بشه,0,23
1190,عجیبه که برخی از دوستان برخلاف نظر کاربران عملکرد این گوشی رو با آندروید ۴ همراه با هنگ و مشکل بیان میکنند و اطلاعات نادرستی رو در اختیار علاقمندان قرار می دهند,-1,32
1191,بهترین و قوی ترین سخت افزار در این گوشی به کار گرفته شده است از صفحه نمایشی عظیم و با کیفیت فوق العاده بالا گرفته تا پردازنده قدرتمند چهار هسته ای,2,29
1192,این در حالی است که در قسمت سمت چپ یک کنترل پنل هم دیده می شود,0,16
1193,دوستان از روی تصویر نمی توانید به زیباییش پی ببرید باید ببینیدش,1,12
1194,یکی دیگه از اشکال های اون قیمت نسبتأ زیادش و دیگری اینکه هنوز بلوتوثش بسته است و فقط برای هدست,-1,19
1195,در آخر میگم اگر هارد دیسک اکسترنال نیاز دارین شک نکنین و بخریدش,1,13
1196,دوستان من یک ماه قبل این دوربین را خریدم و بعد از دو روز ان را با ضرر فروختم,-1,19
1197,سلام و با تشکر از دیجی کالا به خاطر ارسال سریع کالا امروز این گوشی بدستم رسید فوق العاده برازنده این گوشی هست,2,23
1198,چون معمولا گیمها در حدود ۴ یا نهایتا ۹گیگ میباشند,0,10
1199,اونایی که دنبل خرید گوشی با قیمت مناسب باشن,1,9
1200,ولی دوست داشتم آنقدر اپل برای مشتریان ارزش قائل شود که رضایت آنها را مهم تصور کند,0,17
1201,البته ایپد۴G دارد که بدرد ما نمی خورد با اپدیتی که داره واسه سیستم عامل اپل ارائه میشه شما دوباره لذت واقعی را خواهید برد,0,24
1202,رم هم نمیگم عالیه اما کافی هستش و در ضمن بعضی گوشی های دوهسته هم رمشون اینقدره,1,17
1203,تمام مشخصاتی که داره واقعا همان گونه هستش,1,8
1204,CPU بلک هم از ضعیف ترین CPU های تک هسته ای بازاره و در برابر CPU های Scorpion خیلی ضعیف تره,0,21
1205,با تشکر از بهترین سایت من digikala,0,7
1206,همچنین یک دکمه ی Q menu هم برای دسترسی به عملکردهای اصلی بدون نیاز به رفتن به منوی اصلی به وجود آمده است,0,22
1207,البته منهای زمانی که موتور براویاش موقع تماشای ویدئو روشن میشه,0,11
1208,همچنین برنامه های متنوعی از قبل بر روی این گوشی نصب شده اند که از جمله آن ها می توان به برنامه نقشه گوگل Dropbox ایمیل نمایشگر فایل های آفیس و,1,30
1209,همین اما با این همه احتمال اینکه این گوشیو بخرم زیاده چون از صفحه ی بزرگش خیلی خوشم اومد,1,19
1210,البته جدیدا آپدیت ۴٫۰٫۴ این گوشی اومده که با آپدیت کردن گوشی کاملا این مشکل رفع میشود,1,17
1211,همه این کارها در Galaxy Note ۸ به لطف قلم تعبیه شده بسیار راحت تر و لذت بخش تر از گذشته مقدور می باشند,2,24
1212,با اینکه تکنولوژی جدیدی توسط اپل رونمایی نشده ولی بازم این گوشی جزو قوی ترین گوشی های تولید شده تا به امروز محسوب میشه,1,24
1213,سطح نویز در حساسیت های مختلف به خوبی پایین باقی می ماند ولی این مورد به صورت گسترده به کمک بهره گیری از سیستم کاهش نویز دیجیتالی حاصل می شود که باعث می گردد مقدار زیادی از جزئیات هم از بین برود,0,42
1214,اولین نکته ای که میخواهیم در رابطه با این تبلت بگوییم این است که این اولین تبلتیست که دارای گواهی PlayStation است,1,22
1215,علاوه بر پردازنده ASUS X در کانفیگ هایی با گرافیک های کاملا On Board تا با کارت گرافیکی مستقل نیز موجود می باشد,0,23
1216,زمان پخش فیلم آن هم می تواند تا ۵ ساعت و ۱۵ دقیقه باشد,0,14
1217,اما با پشتیبانی این گوشی از Wi Fi GPRS GPS و Edge کاربر می تواند با روش های مختلف لذت مرورگری اینترنت با گوشی موبایل را نیز تجربه نماید,1,29
1218,طراحی هم که هیچ تغییری نکرده,-1,6
1219,کافیه از جدول مقایسه همین سایت استفاده کنین تا متوجه برتری های این تبلت بشید,1,15
1220,همان طور که گفتیم کیفیت دید از زاویه ی آن فوق العاده است و با چرخاندن و نگاه کردن از زوایای تند تر هم کیفیت رنگ ها تغییر نمی کند,2,30
1221,در کل دوربین این گوشی بیشتر جهت استفاده برای ارسال پیامک چند رسانه ای MMS مناسب می باشد و عکس های ثبت شده توسط آن قابلت آرشیو شدن را برای شما نخواهند داشت,-1,32
1222,این گوشی در رنگ های بسیار متنوعی طراحی شده و در جعبه ی آن دو قاب رنگی قابل تعویض هم وجود دارند تا به راحتی بر این تنوع بیفزایید,1,29
1223,نمایشگر ۳ اینچی بسیار با کیفیت XtraFine TruBlack نیز کیفیت ۹۲۱ ۰۰۰ نقطه را ارایه می کند,2,17
1224,حسگر CMOS کیفیت خیلی بهتری داره و از نظر باطری خیلی کم مصرف تر هست به نظر من که کیفیت عکس و فیلمش فوق العاده هست,2,26
1225,دوم این که از نوع BSI CMOS می باشد,0,9
1226,درون جعبه ای که ما به نقد و بررسی آن پرداختیم حتی هندزفری هم وجود نداشت,-1,16
1227,یه سر و گردن از htc sensation بالاتره و اصلا قابل مقایسه نیستن,1,13
1228,یه فرق دیگه با hx۳۰ و hx۲۰ داره که لرزش گیر دستش دو جهتست ولی برای اونا سه جهتست ولی واقعا دوربین بسیار خوبیه,2,26
1229,باتری i۹۱۰۰ قویتر میکرد,0,5
1230,ولی مسئله بیشتر کیفیت نمایشگر است که کیفیت خیلی خوبی نیست,-1,11
1231,من XBOX۳۶۰ ELITE خریدم و الان دم دستمه و دارم باهاش بازی می کنم,0,15
1232,البته مانند سایر گوشی های ۳٫۳ اینچی تایپ کردن با این گوشی به خصوص در حالت عمودی نیاز به کمی تمرین دارد ولی هنگامی که گوشی را به حالت افقی می برید تایپ کردن بسیار راحت و لذت بخش می شود,1,41
1233,شماهایی که میگین سنسور فلانه ابعاد بیسانه نویز به امانه,0,10
1234,همانند اکثر گوشی ها و تبلت های کمپانی سامسونگ GALAXY Tab ۲ نیز از برنامه عکاسی مربوط به رابط کاربری تاچ ویز استفاده می کند,0,25
1235,دومیش اینه که دوربینش عملا به هیچ دردی نمیخوره,-1,9
1236,کیفیت کار این پرینتر عالیست,2,5
1237,هرچند که رزولوشن آن پایین تر از نمایشگر Retinaی iPhone ۴ است ولی با وجود بزرگ تر بودن کیفیتی تقریبا برابر را ارایه می دهد,1,25
1238,و با قیمت پایین تر از سری نوت به نظر من بهتر از اوناست,1,14
1239,سلام من هم چند روزی هست که یکی خریدم مشکلش در شناسایی wifiو نصبgprs,-1,14
1240,اگه بخواهید این گوشی رو بخرید به نظر من ارزش نداره که این همه پول بابت این گوشی بپردازید در کنارش مشکلاتی هم داره,-1,24
1241,این در حالیست که لنز این دوربین حالت واید خیلی بهتری را ارایه می دهد و در یک کادر می توانید میدان دید خیلی بزرگ تری را در یک عکس ثبت کنید,2,32
1242,در کل با یک تبلت جدید آشنا شدیم که به گفته مایکروسافت قرار بود جای لپ تاپ را نیز برای کاربر بگیرد,0,22
1243,دکمه های آیپاد شافل به نوعی طراحی شده اند که شما بعد از مدتی استفاده دیگر نیاز ندارید که به دکمه ها نگاه کنید تا از آنها استفاده کنید,1,28
1244,با این حال مقداری عریض تر شده و به نظر ما ظاهری جدی تر پیدا کرده است,0,16
1245,اجرا کردن بیشتر بازی های اکس باکس قدیمی,0,8
1246,کارتریج های این پرینتر نسبتا گران قیمت هستند,-1,8
1247,دسترسی بیسیم و پخش محتواهای مختلف با قابلیت اشتراک گذاری بیسیم می توانید بیشترین بهره را از محتواها و تجهیزات خود ببرید,1,22
1248,هیچ کمپانی نمیتونه با اپل رقابت کنه,0,7
1249,اما لازم به ذکر است که مشکلات برنامه مربوط به تمامی شهرها نمی شود و بیشتر در شهر های کوچک وجود دارد,0,22
1250,این گوشی واقعا عالیه,2,4
1251,به دلیل فضای زیادی که وجود داشته در سمت راست صفحه کلید نیز یک صفحه کلید عددی خیلی خوب قرار گرفته تا کار وارد کردن اعداد خیلی آسان تر صورت گیرد,2,31
1252,اینترنت گردی با گوشی هم کار خیلی پسندیده ای نیست ولی با این حال توی صفحه ۴ اینچی این کار واقعا لذت بخشه ولی لذت اینترنت گردی تو تبلت رو اصلا نداره,0,31
1253,خوشبختانه دگمه های Start و Ctrl Alt Del همچنان عمل خواهند نمود۳ عملکرد متفاوت پد موس در MacBook ها تفاوت در عملکرد scroll و پیچیدگی Right Click در این سری کامپیوترها۴ میزان دوام باتری در Windows بسیار کمتر از ۷ ساعت است چیزی در حدود ۴٫۵ ساعت۵ قیمت بالای این مدل در مقایسه با سایر مدلهای موجود در بازار ما را به نتیجه گیری می رساند که این مدل برای عکاسان طراحان گرافیک کسانی که در صنعت ساخت فیلم و مونتاژ فعالیت می کنند و نهایتا کاربرانی که بتوانند با سیستم عامل Mac کار کنند مناسب است و سایر عاشقان اپل بهتر است مدل غیر Retina را که هم زمان با معرفی این محصول با سخت افزار های ارتقاع یافته با همان قیمت سابق به بازار عرضه شده برگزینند,0,128
1254,این پرونده ی گرافیکی به نام رمز C۱ و گاهی R۵۰۰ در شرکت ATI نامیده می شود,0,18
1255,ممنون میشم جواب بدید,0,4
1256,حال با معرفی نوکیا لومیا ۶۲۰ به بازار خیلی از طرفداران ویندوز فون ۸ می توانند با قیمتی بسیار کمتر یک گوشی مبتنی بر سیستم عامل دوست داشتنی ویندوز فون را داشته باشند و از تجربه کار با آن لذت ببرند,1,40
1257,معایب کیفیت دوربین آن اگر چه نسبت به اکثر دوربینهای ۵ مگا پیکسلی بهتر است اما در کل به نظر چندان رضایت بخش نمی آید و دارای کیفیت متوسط است,-1,30
1258,سپس تنها کاری که برای عکاسی لازم است انجام دهید این است که آن را به سوی سوژه نشانه بروید و دکمه ی شاتر را بفشارید تا بهترین و با کیفیت ترین عکس گرفته شود,1,34
1259,امیدوارم نوکیا طلسم غرورش رو بشکنه و به خاطر طرفداراش هم که شده با گوگل برای گوشی های اندرویدی همکاری کنه,0,21
1260,عالیه,2,1
1261,سلام من چند وقته این گوشیو دارم,0,7
1262,دوست گرامی همه ی فلاش ها اگر مستقیم زده شوند سایه دارند,0,11
1263,محیط نرم افزاری به لطف پردازنده بسیار قدرتمند دو هسته ای و حافظه RAM بالا بسیار روان است و می توانیم بگوییم که به جز حالتی که از تصویر پس زمینه متحرک استفاده کردیم تقریبا هیچ گونه کاهش سرعتی هنگام کار کردن با این تبلت مشاهده نکردیم,2,47
1264,ولی ما با تست هایی که به عمل آوردیم اسکن هایی بسیار شفاف و با دقت بالا حتی در متون ریز را شاهد بودیم,2,24
1265,اقا چرا به خودتون سختی میدین xbox از نظر سخت افزار خیلی بهتر از ps۳ ست فقط بازی های اختصاصی ps۳ ممکنه معروف تر باشه چون ps قدیمی تره از نظر داغی مشکلی نداره من از ۳ ماه پیش که خریدم دارم بدون فن بازی می کنم,0,47
1266,در اجرای انواع بازی عملکرد رضایت بخشی داره نکته اینجاست که مثه آرک اس داغ نمی کنه و اما به نظر من یکی از مهم ترین خصوصیات یک اسمارت فون مصرف باتری اون هست که در مدت ۶ ساعتی که باهاش بازی کردم فیلم با نور و صدای بلند گوش کردم با وای فای از بازار دانلود کردم تا باتری اولیش خالی بشه کلا رضایت بخش می شه اگه بهتون بگم که وقتی واسه اولین بار روشن کردم گوشی رو ۴۶٪ بود باتری این یعنی عملکرد باتری امید بخشی در آینده می شه ازش انتظار داشت خوش دسته ولی از فیلم برداری این گوشی نمیشه انتظار زیادی داشت با این قیمت فقط میشه گفت کامل,1,116
1267,همچنین تایمر و توانایی عکاسی پیاپی با سرعت ۳ فریم بر ثانیه را هم دارد,0,15
1268,اصلی ترین تغییر ایجاد شده در سیستم عامل ویندوز فون ۸ نسبت به نسخه های پیشین منوی Start است که قابلیت های شخصی سازی جدیدی به آن اضافه شده است,0,29
1269,همچنین به کمک فناوری های بلوتوث NFC و درگاه USB نیز می توان به راحتی با دیگر دستگاه ها تبادل اطلاعات نمود,1,22
1270,در صورتی که گوشی در یک جای ثابت قرار بگیره و هیچ لرزشی نداشته باشه فیلهایی با روزولوشن ۴۸۰ ۶۴۰ را می تونید ثبت کنید که آدم رو یاد گوشهای ۲ مگاپیکسلی می اندازد ولی اگر در حال حرکت فیلم برداری کنید اونوقت اوضاع تغییر می کند و فیلهای گرفته شده تار می شوند که قابل دیدن نیست,-1,58
1271,نوع اول که توسط شرکت LG و هیتاچی طراحی شده بود و در هنگام فعالیت کمی نویز قابل شنیدن در محیط ایجاد می کرد,-1,23
1272,باور کنید هم از لحاظ شکل و شمایلش هم از لحاظ سرعتش,0,12
1273,شاید هم راه حلی داره من پیداش نکردم,0,8
1274,کاربرهای مبتدی خانگی اداری و چه کاربران حرفه ای هر یک می توانند با توجه به نیاز خود مدل مورد نظر را خریداری کرده و از آن استفاده کنند,0,29
1275,دوربین سامسونگ در Galaxy Grand یک دوربین ۸ مگاپیکسلی قرار داده است,0,11
1276,و هنگامی که با این لپ تاپ کار می کنید به راحتی این موضوع را متوجه خواهید شد,1,17
1277,۴٫ درایوهای Samsung در مدل های جدید که بعد از نیمه دوم سال ۲۰۰۷ تولید شده اند وجود ندارد,-1,18
1278,به دلیل وجود پنل IPS بر روی این صفحه نمایش عملکرد آن در زوایای مختلف نیز بسیار مناسب و قابل قبول است,2,22
1279,چیزی که می مونه و حس میشه کیفیته,0,8
1280,البته عیب آیفون مشکل حافظه و سیمکارتش نیز هست,-1,9
1281,نظر خودم اینه که به مارک سونی اعتقاد کامل دارم و محصولاتش و با اطمینان می خرم حتی اگه گارانتی نباشه که در مورد این گوسی هم منو راضی کرده,1,30
1282,arcade با ۲۵۶ و ۵۱۲ مگابایت حافظه بصورت onboard و مدل دارای کارت حافظه ۲۵۶ مگابایتی همراه که این مدل وارد ایران شد,0,23
1283,همچنین وجود یک گیگابایت حافظه رم در کنار ین پردازنده باعث عملکرد روان تر گوشی خواهد شد,1,16
1284,اگه یکم صفحه شفاف تر و پر نورتر میشد دیگه هیچ نقصی نداشت,0,13
1285,یه حسنی که داره نور محیطو جذب میکنه بازتاب نمیکنه برنامه های متنوعی داره مثل کیدز که برای سرگرمی بچه هاست به نسبت قیمتش و سه بعدی بودنش و کنتراست بالایی که داره فوق العاده قیمتش مناسبه رزولوشن عالی داره میشه گفت هیچ جای سیاهی هم اطراف تصویر نمی داره من نسخه فیلم های فول اچ دی رو روش تست کردم واقعا عالیه,2,63
1286,با سخت افزار بالا واقعا یه گوشی عالی محسوب میشه و میتونه مشتری را راضی کنه,2,16
1287,از nokia belle خوشم اومد,1,5
1288,حافظه RAM این نوت بوک ها نیز بین ۲ تا ۴ گیگابایت است که البته به راحتی می توان از طریق محفظه ای که در قسمت زیر دستگاه قرار دارد آن را ارتقا داد,0,34
1289,ابعاد آن ۴۱۵ x ۲۶۵ x ۲۵۰ میلی متر می باشد و وزن آن نیز به حدود ۷ کیلوگرم می رسد که وزنی نسبتا کم محسوب می گردد,1,28
1290,ولی به نظر من کلا عملکرد باطریش خیلی راضی کننده و خوبه,2,12
1291,اما همانطور که گفتیم تفاوت اصلی دوربین W۶۳۰ با W۶۷۰ در لنز بسیار عالی W۶۳۰ است,2,19
1292,گوشیه خوب و شیکیه ولی خیلی به صرفه نیست,0,9
1293,ولی چیزی که کاملا مشهود است اعمال تغییرات مثبتی بوده که بر اثر نظرات کاربران درباره ی نقاط ضعف X۱۰۰ اعمال شده,1,23
1294,این گوشی از باتری لیتیوم یونی ۱۶۵۰ میلی آمپر ساعتی بهره می برد,0,13
1295,خیلی خفیفه,1,2
1296,سفارش دادم زیاد بررسی کردم تا تصمیم گرفتم بخرم دستم برسه میام نقد میکنم,0,14
1297,پنل Super IPS روی این گوشی بر روی تبلت TF۷۰۰T ایسوز هم وجود دارد,0,16
